name,medicare_provider_number,address,city,county,state,zip_code,telephone,primary_contact,coo,cfo,cmo,cio,chr,cno,web_address,control,services,staffed_beds,personnel
MEMORIAL HOSPITAL OF CARBONDALE,140164,405 West Jackson  Street,CARBONDALE,Jackson County,ILLINOIS,62901-1467,618/549-0721,"Craig A. Jesiolowski, FACHE",,"Michael Kasser, Vice President Chief Financial Officer and Treasurer","Marci Moore-Connelly, M.D.","David Holland, Vice President Chief Innovation Officer","Pamela S Henderson, Vice President Human Resources",,https://www.sih.net/locations/sih-memorial-hospital-of-carbondale,Other not-for-profit (including NFP Corporation),General medical and surgical,175,996
CARLINVILLE AREA HOSPITAL,141347,"20733 North Broad Street,  w",CARLINVILLE,Macoupin County,ILLINOIS,62626-1499,217/854-3141,"Brian Burnside, FACHE",,"Mike Brown, Chief Financial Officer",Therese Polo,"Jerod Cottingham, Director Information Systems","Tracy Koster, Director Human Resources",,www.cahcare.com,Other not-for-profit (including NFP Corporation),General medical and surgical,25,250
THOMAS H. BOYD MEMORIAL HOSPITAL,141300,800 School Street,CARROLLTON,Greene County,ILLINOIS,62016-1498,217/942-6946,"Stace Holland, Chief Executive Officer",,,,,"Lisa Eldridge, Human Resources Officer",,,"Corporation, Investor-owned (for-profit)",General medical and surgical,13,152
ASCENSION SAINT JOSEPH – CHICAGO,140224,2900 North Lake Shore  Drive,CHICAGO,Cook County,ILLINOIS,60657-6274,773/665-3000,"John Baird, Chief Executive Officer",,"Stanley Kazmierczak, Controller","M Todd Grendon, M.D.","George Chessum, Senior Vice President Information Systems and Chief Information Officer","Denise Brown, Vice President Human Resources",,https://healthcare.ascension.org/locations/illinois/ilchi/chicago-,"Church operated, Nongovernment, not-for-profit",General medical and surgical,312,791
CHICAGO–READ MENTAL HEALTH CENTER,144010,4200 North Oak Park  Avenue,CHICAGO,Cook County,ILLINOIS,60634-1457,773/794-4000,"Ricardo Fernandez, Administrator",,,,,,,,,Psychiatric,200,
COMMUNITY FIRST MEDICAL CENTER,140251,5645 West Addison Street,CHICAGO,Cook County,ILLINOIS,60634-4403,773/282-7000,"Barbara Martin, Chief Executive Officer","Dennis FitzMaurice, Vice President","Richard Franco, Chief Financial Officer","David Bordo, M.D.","George Chessum, Senior Vice President and Chief Information Officer","Ivy McKinley, Regional Human Resources Officer",,www.cfmedicalcenter.com,"Church operated, Nongovernment, not-for-profit",General medical and surgical,279,
ENDEAVOR HEALTH SWEDISH HOSPITAL,140114,5145 North  w	 s California Avenue,CHICAGO,Cook County,ILLINOIS,60625-3661,773/878-8200,"Jonathan Lind, President",,"Thomas J Garvey, Senior Vice President Operations and Chief Financial Officer",Bruce McNulty,"Karen Sheehan, Vice President and Chief Information Officer",,"Kathryn Donofrio, Chief Nursing Officer",https://www.swedishcovenant.org,Other not-for-profit (including NFP Corporation),General medical and surgical,255,2004
GARFIELD PARK BEHAVIORAL HOSPITAL,144039,520 North Ridgeway  Avenue,CHICAGO,Cook County,ILLINOIS,60624-1232,773/265-3700,"Steven Airhart, Group Chief Executive Officer",,,"Tina Mahera, M.D.",,"Janice Clark, Manager Human Resources",,www.garfieldparkhospital.com,"Corporation, Investor-owned (for-profit)",Children's hospital psychiatric,88,
MEMORIAL HOSPITAL,141338,1900 State Street,CHESTER,Randolph County,ILLINOIS,62233-1116,618/826-4581,"Brett Bollmann, Chief Executive Officer",,"Gail Miesner, Chief Financial Officer","Alan Liefer, M.D.","Becky Bunselmeyer, Director Information Services","May Rose, Director Human Resources",,www.mhchester.com,"Hospital district or authority, Government, Nonfederal",General medical and surgical,25,
ADVOCATE ILLINOIS MASONIC MEDICAL CENTER,140182,836 West  Wellington Avenue,CHICAGO,Cook County,ILLINOIS,60657-5147,773/975-1600,"Matthew Lee. Primack, President",,"Jack Gilbert, Vice President Finance and Facilities",Clifton Clarke,"Chuck Malik, Director Information Systems","Katie Bata, Vice President Human Resources","Heather Hwang Granada, R.N.",https://www.advocatehealth.com/IMMC,Other not-for-profit (including NFP Corporation),General medical and surgical,304,2262
ADVOCATE TRINITY HOSPITAL,140048,2320 East 93rd Street,CHICAGO,Cook County,ILLINOIS,60617-3909,773/967-2000,"Michelle Y. Blakely, Ph.D.",,"Maureen Morrison, Vice President","James Keller, M.D.","Bonita Brown-Roberts, Director Information Systems","Kristin Landini, Vice President","Gwendolyn Marie Oglesby-Odom, Chief Nursing Officer",https://www.advocatehealth.com/trin/,"Church operated, Nongovernment, not-for-profit",General medical and surgical,138,805
ANN & ROBERT H. LURIE CHILDREN'S HOSPITAL OF CHICAGO,143300,225 East Chicago Avenue,CHICAGO,Cook County,ILLINOIS,60611-2991,312/227-4000,"Thomas Shanley, M.D.","Michelle Stephenson, R.N.","Ron Blaustein, Chief Financial Officer",Michael Kelleher,"Lisa Dykstra, Senior Vice President and Chief Information Officer","Joani Duncan, Chief Human Resource Officer","Brian M Stahulak, R.N.",www.luriechildrens.org,Other not-for-profit (including NFP Corporation),Children's general medical and surgical,364,7207
JESSE BROWN VA MEDICAL CENTER,,820 South Damen,CHICAGO,Cook County,ILLINOIS,60612-3776,312/569-8387,"Clifford A. Smith, Ph.D.","Michelle Blakely, FACHE","Kalpana Mehta, Chief Fiscal Services","Wendy W Brown, M.D.","Howard Loewenstein, Chief Information Resource Management Services","Wayne Davis, Manager Human Resources",,www.chicago.va.gov/,"Veterans Affairs, Government, federal",General medical and surgical,181,
JOHN H. STROGER JR. HOSPITAL OF COOK COUNTY,140124,1969 West  Ogden Avenue,CHICAGO,Cook County,ILLINOIS,60612-3714,312/864-6000,"Erik Mikaitis, M.D.",,,"Claudia Fegan, M.D.","Bala Hota, Interim Chief Information Officer","Paris I Partee, Associate Administrator and Director Human Resources","Antoinette Williams, Chief Nursing Officer",https://cookcountyhealth.org/locations/john-h-stroger-jr-hospital-of-,"County, Government, Nonfederal",General medical and surgical,362,5138
LA RABIDA CHILDREN'S HOSPITAL,143301,6501 South Promontory Drive,CHICAGO,Cook County,ILLINOIS,60649-1003,773/363-6700,"Rolla Sweis, PharmD",,"Mark Renfree, Chief Financial Officer",David Soglin,"Sheelah Cabrera, Chief Information Officer","Frances Lefkow, Director Human Resources",,www.larabida.org,Other not-for-profit (including NFP Corporation),Children's chronic disease,36,565
LORETTO HOSPITAL,140083,"645 South Central Avenue,  w",CHICAGO,Cook County,ILLINOIS,60644-5059,773/626-4300,"Tesa Anewishki, President and Chief Executive Officer",,"John R. Morales, Interim Chief Financial Officer",,"Syed Haque, Vice President and Chief Information Officer","Chrystal Brown, Director Human Resources","Kimberly Wright, Executive Director",www.lorettohospital.org,Other not-for-profit (including NFP Corporation),General IL medical and surgical,177,698
HARTGROVE BEHAVIORAL HEALTH SYSTEM,144026,5730 West Roosevelt  Road,CHICAGO,Cook County,ILLINOIS,60644-1580,773/413-1700,"Steven Airhart, Chief Executive Officer","Patrick Sanders, Chief Operating Officer","Joseph Remer, Chief Financial Officer",Teresa Poprawski,,"Alanna Barker, Director of Human Resources","Jody Bhambra, Chief Nursing Officer",www.hartgrovehospital.com,"Corporation, Investor-owned (for-profit)",Psychiatric,160,
HOLY CROSS HOSPITAL,140133,"2701 West 68th Street,  w",CHICAGO,Cook County,ILLINOIS,60629-1882,773/884-9000,"Jeen-Soo Chang, M.D.",,"Charles Weis, Executive Vice President and Chief Financial Officer","Jeen-Soo Chang, M.D.","Ken Slawkowski, Chief Information Officer","Ann Hatches, Director","Deborah Davisson, MSN",https://www.sinaichicago.org/en/find-a-location/results/holy-cross-,"Corporation, Investor-owned (for-profit)",General medical and surgical,84,497
HUMBOLDT PARK HEALTH,140206,1044 North Francisco Avenue,CHICAGO,Cook County,ILLINOIS,60622-2743,773/292-8200,"Jose R. Sanchez, President and Chief Executive Officer","Michelle Blakely, FACHE","Gary M Krugel, Chief Financial Officer",,"William Kelty, Chief Information Officer","Neil Teatsorth, Vice President Human Resources","William Duffy, Interim Chief Nursing Officer",www.nahospital.org,Other not-for-profit (including NFP Corporation),General medical and surgical,195,
INSIGHT HOSPITAL AND MEDICAL CENTER,140158,2525 South  w	 s Michigan Avenue,CHICAGO,Cook County,ILLINOIS,60616-2333,312/567-2000,"Atif Bawahab, Chief Executive Officer",,"Eric Krueger, Chief Financial Officer","Michael McDonnell, M.D.","John Romeo, Chief Information Officer",,,https://insightchicago.com/,Other not-for-profit (including NFP Corporation),General medical and surgical,414,
JACKSON PARK HOSPITAL AND MEDICAL CENTER,140177,7531 Stony  Island Avenue,CHICAGO,Cook County,ILLINOIS,60649-3993,773/947-7500,"William Dorsey, M.D.","Randall Smith, Executive Vice President","Kenneth Mcghee, Vice President of Finance","Bangalore Murthy, M.D.","Barry Mandell, Vice President","Tracey Jones, Director Human Resources",,www.jacksonparkhospital.org,Other not-for-profit (including NFP Corporation),General medical and surgical,118,
ROSELAND COMMUNITY HOSPITAL,140068,45 West 111th Street,CHICAGO,Cook County,ILLINOIS,60628-4294,773/995-3000,"Timothy Egan, President and Chief Executive Officer",,"Marlo Kemp, Vice President and Chief Financial Officer","Alan Jackson, M.D.","Sue Macut, Chief Information Officer","Paulette Clark, Chief Human Resource Officer","Jeraldene Shaffer, MSN",www.roselandhospital.org,Other not-for-profit (including NFP Corporation),General medical and surgical,134,
RUSH SPECIALTY HOSPITAL,142015,516 South Loomis Street,CHICAGO,Cook County,ILLINOIS,60607-2812,872/298-9199,"Michael Delarosa, Chief Executive Officer",,,,,,"Rebecca Pedersen, Chief Nursing Officer",https://www.rush.edu/locations/rush-specialty-hospital,"Corporation, Investor-owned (for-profit)",Acute long-term care hospital,65,
RUSH UNIVERSITY MEDICAL CENTER,140119,1653 West Congress  Parkway,CHICAGO,Cook County,ILLINOIS,60612-3833,312/942-5000,"Omar Lateef, D.O.",,"Patricia Steeves O'Neil, Interim Senior Vice President",,"Lac Tran, Senior Vice President Information Services","Mary Ellen Schopp, Senior Vice President Human Resources","Angelique Richard, R.N.",www.rush.edu,Other not-for-profit (including NFP Corporation),General medical and surgical,614,12061
SAINT ANTHONY HOSPITAL,140095,2875 West 19th Street,CHICAGO,Cook County,ILLINOIS,60623-3596,773/484-1000,"Dorval R. Carter Jr, President and Chief Executive Officer",,"Justin Bynum, Chief Financial Officer",,"Mark Jennings, Chief Information Officer","Malinda Yvonne Carter, Vice President Human Resources",,www.sahchicago.org,"Church operated, Nongovernment, not-for-profit",General medical and surgical,151,
SAINT MARY OF NAZARETH HOSPITAL,140180,2233 West Division Street,CHICAGO,Cook County,ILLINOIS,60622-3086,312/770-2000,"Ellis Hawkins, FACHE",,"Bob Cech, Regional Finance Officer","Laura Concannon, M.D.","Cheryl Rodenfels, System Vice President","Melanie Saenz, Regional Human Resources Officer","Suzanne Lambert, R.N.",https://healthcare.ascension.org/locations/illinois/ilchi/chicago-,"Church operated, Nongovernment, not-for-profit",General medical and surgical,441,
SCHWAB REHABILITATION HOSPITAL,143025,1401 South California  Avenue,CHICAGO,Cook County,ILLINOIS,60608-1858,773/522-2010,"Julia Libcke, R.N.",,"Charles Weis, Chief Financial Officer","Michelle Gittler, M.D.","Ken Slawkowski, Chief Information Officer",,,www.schwabrehab.org,Other not-for-profit (including NFP Corporation),Rehabilitation,62,
MONTROSE BEHAVIORAL HEALTH HOSPITAL,144043,4840 North  Marine Drive,CHICAGO,Cook County,ILLINOIS,60640-7860,773/878-9700,"Robert Hittmeier, Chief Executive Officer","Patricia McClure-Chessier, Chief Administrative Officer","Kisha Scruggs-Morris, Chief Financial Officer","Joao Busnello, M.D.",,"Linda Vestrand, Director","Ryan Diehl, Chief Nursing Officer",www.montrosebehavioral.com,"Corporation, Investor-owned (for-profit)",Psychiatric,60,
MOUNT SINAI HOSPITAL,140018,1500 South Fairfield Avenue,CHICAGO,Cook County,ILLINOIS,60608-1729,773/542-2000,"Sameer Shah, PharmD",,"Charles Weis, Chief Financial Officer","Mark Multach, M.D.","Ken Slawkowski, Chief Information Officer","Ann Hatches, Interim Director Human Resources","Michele A Mazurek, Chief Nursing Officer",www.sinai.org,Other not-for-profit (including NFP Corporation),General medical and surgical,267,
NORTHWESTERN MEMORIAL HOSPITAL,140281,251 East Huron Street,CHICAGO,Cook County,ILLINOIS,60611-2908,312/926-2000,"Thomas J. McAfee, President",,"Francis D Fraher, Vice President",Gary Noskin,"Carl Christensen, Senior Vice President and Chief Information Officer",,"Kristin Ramsey, R.N.",www.nm.org,Other not-for-profit (including NFP Corporation),General medical and surgical,975,13827
PROVIDENT HOSPITAL OF COOK COUNTY,140300,500 East 51st Street,CHICAGO,Cook County,ILLINOIS,60615-2494,312/572-2000,"Arnold F. Turner, M.D.",,"Barbara Patterson, Chief Financial Officer","Aaron Hamb, M.D.","Angela O'Banion, Chief Information Officer",,,https://cookcountyhealth.org/locations/provident-hospital-of-cook-,"County, Government, Nonfederal",General medical and surgical,40,256
RESURRECTION MEDICAL CENTER,140117,7435 West Talcott Avenue,CHICAGO,Cook County,ILLINOIS,60631-3746,773/774-8000,"Len Wilk, President",,"Colleen Koppenhaver, Interim Chief Financial Officer","David Bordo, M.D.","Sue Macut, Chief Information Officer","Paula Zawojski, Regional Director","Jeraldene Shaffer, MSN",https://healthcare.ascension.org/locations/illinois/ilchi/chicago-,"Church operated, Nongovernment, not-for-profit",General medical and surgical,337,
THOREK MEMORIAL HOSPITAL ANDERSONVILLE,140197,5025 North  Paulina Street,CHICAGO,Cook County,ILLINOIS,60640-2772,773/271-9040,"Ned Budd, President and Chief Executive Officer",,"Jim Gregory, Controller",,,,,https://thorekandersonville.org/,Other not-for-profit (including NFP Corporation),General medical and surgical,189,
UNIVERSITY OF CHICAGO MEDICAL CENTER,140088,5841 South  Maryland Avenue,CHICAGO,Cook County,ILLINOIS,60637-1443,773/702-1000,"Thomas E. Jackiewicz, President","Jason Keeler, Executive Vice President and Chief Operating Officer","Ivan Samstein, Executive Vice President and Chief Financial Officer","Stephen Weber, M.D.",,"Bob Hanley, Senior Vice President and Chief Human Resources Officer",,www.uchospitals.edu,Other not-for-profit (including NFP Corporation),General medical and surgical,758,14200
UNIVERSITY OF ILLINOIS HOSPITAL,140150,1740 West Taylor Street,CHICAGO,Cook County,ILLINOIS,60612-7232,312/996-7000,"Mark Rosenblatt, M.D.","David Loffing, Chief Operating Officer",,"Bernard Pygon, M.D.","Audrius Polikaitis, Chief Information Officer",,,www.hospital.uillinois.edu/,,General medical and surgical,432,5248
WARNER HOSPITAL AND HEALTH SERVICES,141303,422 West White  Street,CLINTON,De Witt County,ILLINOIS,61727-2272,217/935-9571,"Paul Skowron, Chief Executive Officer",,"Donna Wisner, Chief Financial Officer","Brit Williams, M.D.","Larry Schleicher, Manager Information Services","Sarah Gerke, Manager Human Resources","Heidi Cook, Chief Nursing Officer",www.djwhospital.org,"City, Government, Nonfederal",General medical and surgical IL,25,
SHIRLEY RYAN ABILITYLAB,143026,345 East Erie Street,CHICAGO,Cook County,ILLINOIS,60611-2654,312/238-1000,"Pablo Celnik, Chief Executive Officer",,"Ed Case, Executive Vice President and Chief Financial Officer","James Sliwa, M.D.","Tim McKula, Vice President Information Systems and Chief Information Officer","Lois Huggins, Chief Human Resources Officer and Senior Vice President Human Resources","Karen M Colby, MS",https://www.sralab.org/,Other not-for-profit (including NFP Corporation),Rehabilitation,262,2174
SHRINERS HOSPITALS FOR CHILDREN–CHICAGO,143302,2211 North Oak  Park Avenue,CHICAGO,Cook County,ILLINOIS,60707-3392,773/622-5400,"Craig McGhee, FACHE",,"Philip Magid, Director Fiscal Services","Jeffrey D. Ackman, M.D.","Donald McGruder, Chief Information Officer","James E Pawlowicz, Director Human Resources","Terry Wheat, R.N.",www.shrinershospitalsforchildren.org/Hospitals/Locations/Chicago.,Other not-for-profit (including NFP Corporation),Children's orthopedic,36,
SOUTH SHORE HOSPITAL,140181,8012 South Crandon Avenue,CHICAGO,Cook County,ILLINOIS,60617-1124,773/356-5000,"Leslie M. Rogers, President and Chief Executive Officer",,"Scott Spencer, Chief Financial Officer","James Bob Achebe, M.D.","Donald McGruder, Chief Information Officer","Roger Rak, Director Human Resources","Laura Gonzalez, Interim Chief Nurse Executive",www.southshorehospital.com,Other not-for-profit (including NFP Corporation),General medical and surgical,137,
ST. BERNARD HOSPITAL AND HEALTH CARE CENTER,140103,326 West  64th Street,CHICAGO,Cook County,ILLINOIS,60621-3146,773/962-3900,"Charles Holland, President and Chief Executive Officer","Roland Abellera, Vice President and Chief Operating Officer","James P Porter, Chief Financial Officer","Ilona Carlos, M.D.","Tony Vavarutsos, Director Information Systems","Brett Wakefield, Director Human Resources","Evelyn Jones, R.N.",www.stbernardhospital.com,"Church operated, Nongovernment, not-for-profit",General medical and surgical,100,
